"","ANIO","mean"
"1",2006,0.0753846153846154
"2",2007,0.114313725490196
"3",2008,0.132777777777778
"4",2009,0.0790178571428571
"5",2010,0.0776881720430107
"6",2011,0.0781842818428184
"7",2012,0.107826086956522
"8",2013,0.0616013071895425
"9",2014,0.10765306122449
"10",2015,0.173703703703704
"11",2016,0.0755555555555556
"12",2017,0.0630584192439863
"13",2018,0.099063670411985
"14",2019,0.122979160825203
"15",2020,0.172480620155039
"16",2021,0.103804347826087
"17",2022,0.099390243902439
"18",2023,0.126458333333333
