"","ANIO","mean"
"1",2006,0.637121212121212
"2",2007,0.445098039215686
"3",2008,0.26268115942029
"4",2009,0.25297619047619
"5",2010,0.241935483870968
"6",2011,0.229644808743169
"7",2012,0.144683908045977
"8",2013,0.185690235690236
"9",2014,0.259353741496599
"10",2015,0.134939759036145
"11",2016,0.177927927927928
"12",2017,0.256185567010309
"13",2018,0.840555555555556
"14",2019,0.315650406504065
"15",2020,0.406521739130435
"16",2021,0.355615942028985
"17",2022,0.360975609756098
"18",2023,0.222784810126582
